iter	Passed	Remaining
0	12	12208
1	23	11688
2	58	19510
3	107	26884
4	128	25584
5	145	24085
6	167	23741
7	191	23744
8	215	23731
9	238	23652
10	256	23043
11	273	22535
12	288	21910
13	301	21254
14	316	20800
15	328	20222
16	340	19701
17	351	19186
18	361	18664
19	370	18154
20	381	17764
21	391	17383
22	400	17030
23	410	16685
24	430	16798
25	465	17454
26	506	18242
27	531	18460
28	551	18458
29	567	18348
30	580	18155
31	591	17906
32	603	17687
33	617	17545
34	629	17350
35	641	17171
36	652	16991
37	663	16787
38	673	16595
39	683	16407
40	691	16177
41	701	15997
42	717	15957
43	759	16509
44	798	16948
45	808	16772
46	819	16616
47	845	16771
48	891	17306
49	925	17575
50	940	17499
51	954	17396
52	967	17288
53	979	17161
54	991	17030
55	1002	16904
56	1013	16766
57	1023	16631
58	1034	16505
59	1044	16361
60	1052	16195
61	1061	16057
62	1081	16085
63	1114	16293
64	1158	16665
65	1183	16750
66	1203	16760
67	1219	16713
68	1233	16647
69	1248	16580
70	1260	16498
71	1271	16394
72	1280	16254
73	1290	16153
74	1301	16053
75	1311	15941
76	1320	15834
77	1332	15745
78	1341	15643
79	1351	15545
80	1363	15464
81	1405	15733
82	1450	16023
83	1468	16017
84	1484	15985
85	1499	15937
86	1513	15882
87	1526	15818
88	1539	15756
89	1551	15683
90	1562	15608
91	1574	15539
92	1584	15451
93	1594	15371
94	1604	15283
95	1614	15207
96	1624	15126
97	1635	15050
98	1645	14978
99	1683	15150
100	1733	15429
101	1744	15362
102	1757	15302
103	1767	15224
104	1813	15457
105	1858	15673
106	1877	15671
107	1893	15641
108	1908	15603
109	1921	15547
110	1931	15467
111	1942	15402
112	1954	15340
113	1965	15273
114	1975	15201
115	1985	15128
116	1995	15058
117	2007	15003
118	2051	15187
119	2094	15358
120	2107	15311
121	2118	15244
122	2128	15174
123	2139	15111
124	2148	15042
125	2181	15130
126	2225	15299
127	2254	15359
128	2274	15359
129	2289	15322
130	2303	15277
131	2315	15228
132	2338	15243
133	2351	15193
134	2361	15133
135	2372	15075
136	2382	15010
137	2392	14944
138	2402	14883
139	2412	14822
140	2448	14919
141	2494	15070
142	2519	15097
143	2537	15084
144	2553	15054
145	2566	15012
146	2578	14962
147	2590	14913
148	2600	14853
149	2608	14781
150	2618	14724
151	2628	14664
152	2638	14606
153	2648	14550
154	2671	14563
155	2715	14693
156	2751	14772
157	2769	14756
158	2784	14727
159	2798	14689
160	2809	14642
161	2821	14592
162	2831	14538
163	2840	14480
164	2851	14428
165	2862	14379
166	2871	14322
167	2881	14267
168	2890	14214
169	2899	14156
170	2909	14104
171	2928	14096
172	2974	14217
173	3009	14287
174	3026	14268
175	3042	14245
176	3054	14200
177	3065	14158
178	3075	14106
179	3085	14056
180	3096	14010
181	3104	13954
182	3113	13899
183	3122	13849
184	3163	13938
185	3207	14038
186	3234	14062
187	3248	14029
188	3258	13981
189	3267	13931
190	3277	13882
191	3287	13835
192	3297	13787
193	3335	13859
194	3388	13988
195	3408	13983
196	3424	13959
197	3438	13928
198	3453	13899
199	3463	13855
200	3472	13802
201	3481	13752
202	3491	13707
203	3500	13660
204	3511	13617
205	3520	13569
206	3530	13526
207	3540	13480
208	3584	13565
209	3629	13652
210	3647	13637
211	3663	13616
212	3677	13589
213	3689	13550
214	3700	13509
215	3712	13473
216	3722	13430
217	3732	13389
218	3743	13349
219	3753	13308
220	3763	13264
221	3774	13226
222	3783	13184
223	3793	13140
224	3802	13096
225	3859	13217
226	3896	13269
227	3917	13265
228	3938	13259
229	3952	13233
230	3964	13198
231	3974	13155
232	3982	13109
233	3992	13068
234	4001	13025
235	4009	12981
236	4015	12928
237	4023	12883
238	4033	12841
239	4045	12811
240	4089	12879
241	4133	12948
242	4158	12953
243	4170	12922
244	4186	12900
245	4197	12865
246	4209	12832
247	4220	12797
248	4231	12762
249	4243	12729
250	4253	12691
251	4264	12656
252	4273	12617
253	4282	12579
254	4292	12541
255	4301	12501
256	4345	12562
257	4389	12624
258	4417	12638
259	4436	12627
260	4451	12604
261	4463	12572
262	4474	12538
263	4483	12498
264	4492	12460
265	4503	12425
266	4513	12389
267	4522	12353
268	4532	12317
269	4542	12281
270	4551	12244
271	4560	12206
272	4580	12199
273	4640	12295
274	4664	12296
275	4688	12297
276	4705	12280
277	4721	12262
278	4733	12232
279	4745	12202
280	4757	12173
281	4769	12143
282	4779	12109
283	4789	12076
284	4800	12044
285	4810	12008
286	4819	11972
287	4828	11938
288	4868	11977
289	4911	12024
290	4929	12010
291	4943	11986
292	4957	11963
293	4971	11937
294	4983	11908
295	4993	11875
296	5002	11840
297	5011	11806
298	5021	11772
299	5030	11737
300	5040	11705
301	5048	11668
302	5057	11634
303	5066	11599
304	5099	11619
305	5143	11665
306	5166	11661
307	5183	11646
308	5198	11624
309	5210	11596
310	5221	11567
311	5232	11537
312	5243	11507
313	5252	11475
314	5261	11442
315	5271	11410
316	5280	11377
317	5289	11345
318	5298	11312
319	5316	11296
320	5358	11335
321	5398	11366
322	5425	11372
323	5443	11357
324	5458	11336
325	5472	11314
326	5486	11291
327	5498	11264
328	5509	11236
329	5520	11207
330	5529	11176
331	5540	11148
332	5552	11120
333	5562	11091
334	5573	11063
335	5583	11034
336	5593	11004
337	5602	10972
338	5611	10942
339	5621	10912
340	5629	10879
341	5638	10849
342	5648	10819
343	5690	10852
344	5733	10884
345	5759	10887
346	5779	10875
347	5796	10860
348	5810	10838
349	5821	10810
350	5832	10783
351	5844	10758
352	5856	10734
353	5867	10707
354	5879	10681
355	5896	10667
356	5939	10697
357	5977	10720
358	5993	10701
359	6008	10681
360	6021	10658
361	6034	10635
362	6044	10606
363	6054	10578
364	6064	10549
365	6073	10520
366	6084	10493
367	6093	10465
368	6103	10436
369	6112	10407
370	6122	10380
371	6168	10414
372	6215	10448
373	6245	10453
374	6263	10438
375	6278	10419
376	6296	10405
377	6308	10380
378	6317	10352
379	6330	10328
380	6340	10301
381	6352	10276
382	6363	10250
383	6373	10223
384	6383	10196
385	6395	10172
386	6404	10145
387	6414	10117
388	6432	10104
389	6453	10094
390	6491	10110
391	6517	10109
392	6536	10095
393	6551	10075
394	6565	10055
395	6577	10031
396	6589	10008
397	6600	9983
398	6610	9957
399	6623	9934
400	6633	9909
401	6643	9882
402	6654	9857
403	6663	9830
404	6672	9803
405	6682	9776
406	6691	9749
407	6700	9722
408	6710	9697
409	6742	9701
410	6791	9733
411	6840	9763
412	6861	9752
413	6878	9735
414	6890	9712
415	6900	9687
416	6911	9662
417	6920	9635
418	6930	9610
419	6940	9584
420	6948	9556
421	6958	9530
422	6967	9503
423	7004	9515
424	7047	9534
425	7072	9529
426	7091	9516
427	7106	9497
428	7121	9478
429	7132	9455
430	7144	9431
431	7154	9407
432	7164	9381
433	7174	9357
434	7183	9330
435	7193	9305
436	7203	9279
437	7212	9254
438	7221	9228
439	7230	9202
440	7244	9183
441	7287	9199
442	7328	9214
443	7345	9198
444	7361	9181
445	7375	9161
446	7392	9145
447	7403	9122
448	7414	9099
449	7424	9074
450	7435	9051
451	7446	9027
452	7455	9002
453	7464	8977
454	7473	8951
455	7482	8926
456	7492	8902
457	7501	8877
458	7543	8891
459	7585	8904
460	7610	8897
461	7628	8883
462	7645	8867
463	7658	8846
464	7671	8826
465	7683	8804
466	7692	8779
467	7703	8756
468	7713	8732
469	7722	8708
470	7732	8684
471	7741	8660
472	7751	8636
473	7761	8612
474	7770	8587
475	7779	8564
476	7788	8540
477	7798	8516
478	7822	8508
479	7864	8519
480	7896	8520
481	7915	8506
482	7929	8488
483	7944	8469
484	7956	8448
485	7967	8426
486	7978	8403
487	7987	8380
488	7998	8357
489	8007	8333
490	8016	8310
491	8026	8287
492	8036	8264
493	8082	8278
494	8125	8289
